win_s,fold,severity,mask_seed,structured,iid,rho
4.0,5,30,0,0.5248001598934473,0.6225679012548765,0.49296511627906975
4.0,5,30,1,0.6389606556689088,0.6237498944654766,0.4803100775193798
4.0,5,30,2,0.5084901183705063,0.6319114915949745,0.5031589147286821
4.0,6,1,0,0.8463202252747838,0.8708333333333332,0.048312757201646093
4.0,6,1,1,0.8573779622097137,0.8675213675213675,0.032335390946502056
4.0,6,1,2,0.8751007252215954,0.8784313725490196,0.08813786008230452
4.0,6,3,0,0.8023259770669595,0.87984496124031,0.10871399176954732
4.0,6,3,1,0.8397809985255161,0.8812260536398467,0.09713991769547325
4.0,6,3,2,0.6641277625432555,0.8888888888888888,0.1973045267489712
4.0,6,10,0,0.7375091733684842,0.8888888888888888,0.24631687242798353
4.0,6,10,1,0.7815622922653559,0.8888888888888888,0.229619341563786
4.0,6,10,2,0.7423203098010428,0.8888888888888888,0.30676954732510286
4.0,6,30,0,0.41231308453114907,0.7291949351828423,0.5304938271604939
4.0,6,30,1,0.6267798314080651,0.8649225170964301,0.43
4.0,6,30,2,0.430457164578722,0.7280271495000329,0.5355658436213991
4.0,7,1,0,0.8368414594872587,0.8936534918860738,0.014506353861192572
4.0,7,1,1,0.8363352627397571,0.8743725726681681,0.06540566959921798
4.0,7,1,2,0.8487123853324432,0.8870089211790031,0.034183773216031284
4.0,7,3,0,0.8042202135337965,0.8771055849246593,0.08179863147605083
4.0,7,3,1,0.729265951379602,0.8569272805105618,0.1344574780058651
4.0,7,3,2,0.8249638193363054,0.8798392943082893,0.059638318670576736
4.0,7,10,0,0.6671742814788223,0.7722697630443851,0.2482893450635386
4.0,7,10,1,0.586642562012236,0.6984003284294406,0.28948191593352884
4.0,7,10,2,0.6382211471007811,0.7889537318099625,0.23840664711632453
4.0,7,30,0,0.48757889996146925,0.5586914177119252,0.45637341153470184
4.0,7,30,1,0.3922085592921017,0.5209789456247799,0.5178690127077223
4.0,7,30,2,0.451087707090635,0.5445965604662074,0.46142717497556207
4.0,8,1,0,0.5705708635793498,0.5564660579143939,0.05435435435435435
4.0,8,1,1,0.5662770968053765,0.5763438580372919,0.016486486486486488
4.0,8,1,2,0.5372348190033337,0.5613853870650622,0.05181181181181181
4.0,8,3,0,0.532093138083816,0.46396603409257303,0.13611611611611613
4.0,8,3,1,0.5468155765534689,0.5498636673137723,0.06924924924924925
4.0,8,3,2,0.539947079690815,0.5071839979488637,0.11179179179179179
4.0,8,10,0,0.37368399246601974,0.304690907966882,0.31448448448448446
4.0,8,10,1,0.5391168256441382,0.40408100052506996,0.18705705705705705
4.0,8,10,2,0.51229121059764,0.38712192147096175,0.22165165165165165
4.0,8,30,0,0.39107897519164664,0.2647950755804893,0.5328528528528529
4.0,8,30,1,0.30873823528766303,0.28073870573870574,0.447997997997998
4.0,8,30,2,0.421863339499487,0.269123312182686,0.47896896896896896
4.0,9,1,0,0.963804944120576,1.0,0.04496598639455782
4.0,9,1,1,0.9273832124376442,1.0,0.055626822157434405
4.0,9,1,2,0.9973111284586694,1.0,0.030728862973760932
4.0,9,3,0,0.9890170701152082,1.0,0.08125364431486881
4.0,9,3,1,0.9526498789829686,1.0,0.1006025267249757
4.0,9,3,2,0.9421234756528875,1.0,0.07595724003887269
4.0,9,10,0,0.8756074250803216,1.0,0.20704567541302235
4.0,9,10,1,0.8933813149819971,1.0,0.22322643343051507
4.0,9,10,2,0.869541323213528,0.9914490993725966,0.19574344023323614
4.0,9,30,0,0.6593867175660464,0.9059619478602129,0.46656948493683187
4.0,9,30,1,0.6333563055727872,0.8829875104561915,0.4433916423712342
4.0,9,30,2,0.693043548037223,0.890758028031335,0.45160349854227405
